Operation, num1, num2, entity1, entity2, raw_cost, v1_cost, v2_cost, unmatch_cost, Entity_type, change?
ns,151,152,public bool DetermineTypesVisitor.visitStackSlots( ProblemType * ProblemType ProblemType * ),public bool DetermineTypesVisitor.visitStackSlots( ProblemType * ProblemType ProblemType * ),0,0,0,104,Method,0
ns,152,153,public ProblemType DetermineTypesVisitor.getTypeMap( ),public ProblemType DetermineTypesVisitor.getTypeMap( ),0,0,0,87,Method,0
ns,153,154,DummyForGlobalFunctions,DummyForGlobalFunctions,0,0,179,43899,Class,0
ns,154,155,public void DummyForGlobalFunctions.ALE_INDEX( ),public void DummyForGlobalFunctions.ALE_INDEX( ),0,0,0,87,Method,0
ns,155,156,public void DummyForGlobalFunctions.ALE_VALUE( ),public void DummyForGlobalFunctions.ALE_VALUE( ),0,0,0,87,Method,0
ns,156,157,public void DummyForGlobalFunctions.ATOM_KEY( ),public void DummyForGlobalFunctions.ATOM_KEY( ),0,0,0,87,Method,0
ns,157,158,public void DummyForGlobalFunctions.ATOM_LIST_SEARCH( ),public void DummyForGlobalFunctions.ATOM_LIST_SEARCH( ),0,0,0,87,Method,0
ns,158,159,public void DummyForGlobalFunctions.ATOM_TO_JSID( ),public void DummyForGlobalFunctions.ATOM_TO_JSID( ),0,0,0,87,Method,0
ns,159,160,public void DummyForGlobalFunctions.ATOM_TO_STRING( ),public void DummyForGlobalFunctions.ATOM_TO_STRING( ),0,0,0,87,Method,0
ns,160,161,public void DummyForGlobalFunctions.ActivateSSL( ),public void DummyForGlobalFunctions.ActivateSSL( ),0,0,0,87,Method,0
ns,161,162,public void DummyForGlobalFunctions.Add( ),public void DummyForGlobalFunctions.Add( ),0,0,0,87,Method,0
ns,162,163,public static ProblemType DummyForGlobalFunctions.AddAtomToArray( ProblemType * ProblemType * ProblemType * ProblemType * ),public static ProblemType DummyForGlobalFunctions.AddAtomToArray( ProblemType * ProblemType * ProblemType * ProblemType * ),0,0,0,87,Method,0
ns,163,164,public void DummyForGlobalFunctions.AddAuthorizationHeaders( ),public void DummyForGlobalFunctions.AddAuthorizationHeaders( ),0,0,0,87,Method,0
ns,164,165,public void DummyForGlobalFunctions.AddBadCert( ),public void DummyForGlobalFunctions.AddBadCert( ),0,0,0,87,Method,0
ns,165,166,public void DummyForGlobalFunctions.AddBulletFrame( ),public void DummyForGlobalFunctions.AddBulletFrame( ),0,0,0,87,Method,0
ns,166,167,public void DummyForGlobalFunctions.AddCacheEntryHeaders( ),public void DummyForGlobalFunctions.AddCacheEntryHeaders( ),0,0,0,87,Method,0
ns,167,168,public void DummyForGlobalFunctions.AddCanvasBackgroundColorItem( ),public void DummyForGlobalFunctions.AddCanvasBackgroundColorItem( ),0,0,0,87,Method,0
ns,168,169,public void DummyForGlobalFunctions.AddCookiesToRequest( ),public void DummyForGlobalFunctions.AddCookiesToRequest( ),0,0,0,87,Method,0
ns,169,170,public void DummyForGlobalFunctions.AddEventListenerByIID( ),public void DummyForGlobalFunctions.AddEventListenerByIID( ),0,0,0,87,Method,0
ns,170,171,public void DummyForGlobalFunctions.AddFrames( ),public void DummyForGlobalFunctions.AddFrames( ),0,0,0,87,Method,0
ns,171,172,public void DummyForGlobalFunctions.AddInlineMinWidth( ),public void DummyForGlobalFunctions.AddInlineMinWidth( ),0,0,0,87,Method,0
ns,172,173,public void DummyForGlobalFunctions.AddInlinePrefWidth( ),public void DummyForGlobalFunctions.AddInlinePrefWidth( ),0,0,0,87,Method,0
ns,173,174,public static int DummyForGlobalFunctions.AddJumpTarget( AddJumpTargetArgs * ProblemType * * ),public static int DummyForGlobalFunctions.AddJumpTarget( AddJumpTargetArgs * ProblemType * * ),0,0,0,104,Method,0
ns,174,175,public static VMFragment DummyForGlobalFunctions.AddNewPeerToPeerList( ProblemType * VMFragment * ),public static VMFragment DummyForGlobalFunctions.AddNewPeerToPeerList( ProblemType * VMFragment * ),0,0,0,104,Method,0
ns,175,176,public void DummyForGlobalFunctions.AddNode( ),public void DummyForGlobalFunctions.AddNode( ),0,0,0,87,Method,0
ns,176,177,public void DummyForGlobalFunctions.AddObserver( ),public void DummyForGlobalFunctions.AddObserver( ),0,0,0,87,Method,0
ns,177,178,public void DummyForGlobalFunctions.AddPath( ),public void DummyForGlobalFunctions.AddPath( ),0,0,0,87,Method,0
ns,178,179,public void DummyForGlobalFunctions.AddRequest( ),public void DummyForGlobalFunctions.AddRequest( ),0,0,0,87,Method,0
ns,179,180,public void DummyForGlobalFunctions.AddScrollPositionListener( ),public void DummyForGlobalFunctions.AddScrollPositionListener( ),0,0,0,87,Method,0
ns,180,181,public static ProblemType DummyForGlobalFunctions.AddSpanDep( ProblemType * ProblemType * ProblemType * ProblemType * ProblemType ),public static ProblemType DummyForGlobalFunctions.AddSpanDep( ProblemType * ProblemType * ProblemType * ProblemType * ProblemType ),0,0,0,87,Method,0
ns,181,182,public void DummyForGlobalFunctions.AddStandardRequestHeaders( ),public void DummyForGlobalFunctions.AddStandardRequestHeaders( ),0,0,0,87,Method,0
ns,182,183,public void DummyForGlobalFunctions.AddStateBits( ),public void DummyForGlobalFunctions.AddStateBits( ),0,0,0,87,Method,0
ns,183,184,public static ProblemType DummyForGlobalFunctions.AddSwitchSpanDeps( ProblemType * ProblemType * ProblemType * ),public static ProblemType DummyForGlobalFunctions.AddSwitchSpanDeps( ProblemType * ProblemType * ProblemType * ),0,0,0,87,Method,0
ns,184,185,public void DummyForGlobalFunctions.AddURI( ),public void DummyForGlobalFunctions.AddURI( ),0,0,0,87,Method,0
ns,185,186,public void DummyForGlobalFunctions.Adopt( ),public void DummyForGlobalFunctions.Adopt( ),0,0,0,87,Method,0
ns,186,187,public void DummyForGlobalFunctions.AdvanceToNextLine( ),public void DummyForGlobalFunctions.AdvanceToNextLine( ),0,0,0,87,Method,0
ns,187,188,public void DummyForGlobalFunctions.Alert( ),public void DummyForGlobalFunctions.Alert( ),0,0,0,87,Method,0
ns,188,189,public static ProblemType DummyForGlobalFunctions.AllocSrcNote( ProblemType * ProblemType * ),public static ProblemType DummyForGlobalFunctions.AllocSrcNote( ProblemType * ProblemType * ),0,0,0,87,Method,0
ns,189,190,public void DummyForGlobalFunctions.Allocate( ),public void DummyForGlobalFunctions.Allocate( ),0,0,0,87,Method,0
ns,190,191,public void DummyForGlobalFunctions.AllocateArray( ),public void DummyForGlobalFunctions.AllocateArray( ),0,0,0,87,Method,0
ns,191,192,public static ProblemType DummyForGlobalFunctions.AllocateDoubleFromReservedPool( ProblemType * ),public static ProblemType DummyForGlobalFunctions.AllocateDoubleFromReservedPool( ProblemType * ),0,0,0,87,Method,0
ns,192,193,public void DummyForGlobalFunctions.AllocateObjectAndArray( ),public void DummyForGlobalFunctions.AllocateObjectAndArray( ),0,0,0,87,Method,0
