"class","category"
DummyForGlobalFunctions.Collect(),"Method"
DummyForGlobalFunctions.CollectFloats(),"Method"
DummyForGlobalFunctions.CollectWhite(),"Method"
DummyForGlobalFunctions.Compare(),"Method"
DummyForGlobalFunctions.CompatibilityMode(),"Method"
DummyForGlobalFunctions.ComputeBlockAvailSpace(),"Method"
DummyForGlobalFunctions.ComputeCombinedArea(),"Method"
DummyForGlobalFunctions.ComputeCurrentAge(),"Method"
DummyForGlobalFunctions.ComputeDisjointRectangles(ProblemType &,ProblemType *),"Method"
DummyForGlobalFunctions.ComputeFinalSize(),"Method"
DummyForGlobalFunctions.ComputeFreshnessLifetime(),"Method"
DummyForGlobalFunctions.ComputeIsJITBroken(),"Method"
DummyForGlobalFunctions.ComputeMaxAscent(ProblemType &),"Method"
DummyForGlobalFunctions.ComputeMaxDescent(ProblemType &,ProblemType *),"Method"
DummyForGlobalFunctions.ComputeSimpleTightBounds(),"Method"
DummyForGlobalFunctions.ComputeVisibility(),"Method"
DummyForGlobalFunctions.ComputedHeight(),"Method"
DummyForGlobalFunctions.ComputedWidth(),"Method"
DummyForGlobalFunctions.Confirm(),"Method"
DummyForGlobalFunctions.ConfirmAuth(),"Method"
DummyForGlobalFunctions.ConfirmEx(),"Method"
DummyForGlobalFunctions.Connect(),"Method"
DummyForGlobalFunctions.Connected(),"Method"
DummyForGlobalFunctions.Connection(),"Method"
DummyForGlobalFunctions.Contains(),"Method"
DummyForGlobalFunctions.ContainsNode(),"Method"
DummyForGlobalFunctions.Content(),"Method"
DummyForGlobalFunctions.ContentCharset(),"Method"
DummyForGlobalFunctions.ContentLength(),"Method"
DummyForGlobalFunctions.ContentShellAdded(),"Method"
DummyForGlobalFunctions.ContentShellRemoved(),"Method"
DummyForGlobalFunctions.ContentType(),"Method"
DummyForGlobalFunctions.ContinueOnAuthAvailable(),"Method"
DummyForGlobalFunctions.Convert(),"Method"
DummyForGlobalFunctions.ConvertOverflow(ProblemType),"Method"
DummyForGlobalFunctions.ConvertToString(),"Method"
DummyForGlobalFunctions.Copy(),"Method"
DummyForGlobalFunctions.CopyASCIItoUTF16(),"Method"
DummyForGlobalFunctions.CopyFileIntoUpdateDir(ProblemType *,char *,ProblemType *),"Method"
